question,answer
I am still waiting on my card?,New cards usually arrive within 5–7 business days after approval.
What can I do if my card still hasn't arrived after 2 weeks?,New cards usually arrive within 5–7 business days after approval.
I have been waiting over a week. Is the card still coming?,New cards usually arrive within 5–7 business days after approval.
Can I track my card while it is in the process of delivery?,New cards usually arrive within 5–7 business days after approval.
"How do I know if I will get my card, or if it is lost?",New cards usually arrive within 5–7 business days after approval.
When did you send me my new card?,New cards usually arrive within 5–7 business days after approval.
Do you have info about the card on delivery?,New cards usually arrive within 5–7 business days after approval.
What do I do if I still have not received my new card?,New cards usually arrive within 5–7 business days after approval.
Does the package with my card have tracking?,New cards usually arrive within 5–7 business days after approval.
I ordered my card but it still isn't here,New cards usually arrive within 5–7 business days after approval.
Why has my new card still not come?,New cards usually arrive within 5–7 business days after approval.
"I still haven't received my card after two weeks, is it lost?",New cards usually arrive within 5–7 business days after approval.
Can you track my card for me?,New cards usually arrive within 5–7 business days after approval.
Is there a way to track the delivery of my card?,New cards usually arrive within 5–7 business days after approval.
It's been a week since I ordered my card and it's not here. Please help?,New cards usually arrive within 5–7 business days after approval.
Will I be able to track the card that was sent to me?,New cards usually arrive within 5–7 business days after approval.
I don't have my card in 1 week.  Should I be worried?,New cards usually arrive within 5–7 business days after approval.
How do I know when my new card is going to arrive?,New cards usually arrive within 5–7 business days after approval.
My new card has not been delivered to my home yet. What is going on?,New cards usually arrive within 5–7 business days after approval.
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,New cards usually arrive within 5–7 business days after approval.
"On the card that is coming, what's the tracking info?",New cards usually arrive within 5–7 business days after approval.
What is the status of my card's delivery?,New cards usually arrive within 5–7 business days after approval.
Have you sent out my card yet?,New cards usually arrive within 5–7 business days after approval.
My card isn't here yet.,New cards usually arrive within 5–7 business days after approval.
where is my new card?,New cards usually arrive within 5–7 business days after approval.
It's been a week since you sent my card and I still don't have it.,New cards usually arrive within 5–7 business days after approval.
How do I track the card you sent me?,New cards usually arrive within 5–7 business days after approval.
When will I recieve my new card?,New cards usually arrive within 5–7 business days after approval.
When will I get my new card?,New cards usually arrive within 5–7 business days after approval.
What is the expected delivery date for my card?,New cards usually arrive within 5–7 business days after approval.
Is there a tracking number for the card you sent me?,New cards usually arrive within 5–7 business days after approval.
I would like to track the card you sent to me.,New cards usually arrive within 5–7 business days after approval.
Has my card been lost in delivery?,New cards usually arrive within 5–7 business days after approval.
My new card hasn't came in.,New cards usually arrive within 5–7 business days after approval.
Where is the card I ordered 2 weeks ago?,New cards usually arrive within 5–7 business days after approval.
Can I get an update on my replacement card?,New cards usually arrive within 5–7 business days after approval.
How long does it take for a new card to ship?,New cards usually arrive within 5–7 business days after approval.
What's the tracking on the card you sent?,New cards usually arrive within 5–7 business days after approval.
I haven't received my card and am worried it is lost.,New cards usually arrive within 5–7 business days after approval.
My card still hasn't been delivered,New cards usually arrive within 5–7 business days after approval.
I need to find out where the card is that I ordered.,New cards usually arrive within 5–7 business days after approval.
Where is my credit card that was to be mailed?,New cards usually arrive within 5–7 business days after approval.
I ordered my card but it hasn't been delivered yet,New cards usually arrive within 5–7 business days after approval.
Am I able to track the card that was just sent to me?,New cards usually arrive within 5–7 business days after approval.
Can you tell me why I haven't received my new card?,New cards usually arrive within 5–7 business days after approval.
I'm still waiting for my new card.,New cards usually arrive within 5–7 business days after approval.
Is my card lost? I am still waiting for it to be delivered.,New cards usually arrive within 5–7 business days after approval.
Should I keep waiting for my card to be delivered?,New cards usually arrive within 5–7 business days after approval.
Can I track when my card will be delivered?,New cards usually arrive within 5–7 business days after approval.
How can I check on the status of my new card?,New cards usually arrive within 5–7 business days after approval.
"A card has been sent to me, how do I track it?",New cards usually arrive within 5–7 business days after approval.
Is there a way I can get my card expedited?,New cards usually arrive within 5–7 business days after approval.
What can I do to track the card you sent me?,New cards usually arrive within 5–7 business days after approval.
why hasnt my card come in yet?,New cards usually arrive within 5–7 business days after approval.
How can I periodically check the delivery of the card you sent?,New cards usually arrive within 5–7 business days after approval.
What's the reason my new card hasn't come?,New cards usually arrive within 5–7 business days after approval.
How long does it take for me to get my new card?,New cards usually arrive within 5–7 business days after approval.
I don't have my card after 1 week. What are my next steps?,New cards usually arrive within 5–7 business days after approval.
I know I'm getting a new card but would like know when I can expect to receive it.,New cards usually arrive within 5–7 business days after approval.
I want to find out what happened to my new card?,New cards usually arrive within 5–7 business days after approval.
Was there a way for me to get tracking for that?,New cards usually arrive within 5–7 business days after approval.
I am still waiting for my card.,New cards usually arrive within 5–7 business days after approval.
My card hasn't arrived.,New cards usually arrive within 5–7 business days after approval.
Can I track the card you sent to me?,New cards usually arrive within 5–7 business days after approval.
I haven't gotten my new card.,New cards usually arrive within 5–7 business days after approval.
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,New cards usually arrive within 5–7 business days after approval.
Will I have to wait much longer for my new card to arrive?,New cards usually arrive within 5–7 business days after approval.
how to track the card you sent,New cards usually arrive within 5–7 business days after approval.
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,New cards usually arrive within 5–7 business days after approval.
How can I check on the delivery status of my card?,New cards usually arrive within 5–7 business days after approval.
"My card has not been delivered yet and its been a week since I ordered it, please help",New cards usually arrive within 5–7 business days after approval.
What's the expected wait time to recieve my new card?,New cards usually arrive within 5–7 business days after approval.
How can I see the progress of delivery of the card that was sent?,New cards usually arrive within 5–7 business days after approval.
"My card was supposed to arrive, but hasn't?",New cards usually arrive within 5–7 business days after approval.
I ordered a card and would like to know how to track the delivery progress of it.,New cards usually arrive within 5–7 business days after approval.
How long will it take for me to get my card?,New cards usually arrive within 5–7 business days after approval.
My card hasn't shown up yet.,New cards usually arrive within 5–7 business days after approval.
Does the card you sent have a tracking number?,New cards usually arrive within 5–7 business days after approval.
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,New cards usually arrive within 5–7 business days after approval.
maximum how many days get the courier?,New cards usually arrive within 5–7 business days after approval.
